category,algorithmus,reference_image,test_image,ref_position,response,resptime,image_id
Alltag,siggraph17,images/60.jpg,images/60_siggraph17.jpg,0,0,43.251104,60
Stadt,eccv16,images/36.jpg,images/36_eccv16.jpg,1,1,2.402254,36
Natur,eccv16,images/2.jpg,images/2_eccv16.jpg,0,0,3.484254,2
Alltag,eccv16,images/55.jpg,images/55_eccv16.jpg,1,1,2.504276,55
Natur,eccv16,images/3.jpg,images/3_eccv16.jpg,0,0,9.3594,3
Natur,siggraph17,images/14.jpg,images/14_siggraph17.jpg,1,1,3.6705,14
Stadt,siggraph17,images/38.jpg,images/38_siggraph17.jpg,0,0,1.971091,38
Stadt,eccv16,images/39.jpg,images/39_eccv16.jpg,0,0,4.110001,39
Natur,siggraph17,images/1.jpg,images/1_siggraph17.jpg,0,0,2.213763,1
Stadt,siggraph17,images/23.jpg,images/23_siggraph17.jpg,1,1,7.622019,23
Natur,eccv16,images/17.jpg,images/17_eccv16.jpg,1,0,12.711308,17
Alltag,siggraph17,images/56.jpg,images/56_siggraph17.jpg,1,1,2.15275,56
Alltag,eccv16,images/43.jpg,images/43_eccv16.jpg,0,0,1.845503,43
Alltag,eccv16,images/53.jpg,images/53_eccv16.jpg,1,1,2.377613,53
Natur,siggraph17,images/6.jpg,images/6_siggraph17.jpg,0,0,4.828005,6
Stadt,eccv16,images/32.jpg,images/32_eccv16.jpg,1,1,1.190774,32
Natur,siggraph17,images/16.jpg,images/16_siggraph17.jpg,1,0,4.052523,16
Stadt,eccv16,images/22.jpg,images/22_eccv16.jpg,0,0,1.865282,22
Alltag,siggraph17,images/50.jpg,images/50_siggraph17.jpg,0,0,1.21067,50
Alltag,siggraph17,images/48.jpg,images/48_siggraph17.jpg,0,0,1.144299,48
Natur,siggraph17,images/10.jpg,images/10_siggraph17.jpg,1,1,3.115722,10
Stadt,siggraph17,images/40.jpg,images/40_siggraph17.jpg,0,0,1.193187,40
Alltag,eccv16,images/57.jpg,images/57_eccv16.jpg,1,1,1.057185,57
Alltag,siggraph17,images/45.jpg,images/45_siggraph17.jpg,0,0,1.697161,45
Stadt,siggraph17,images/28.jpg,images/28_siggraph17.jpg,0,0,1.350029,28
