category,algorithmus,reference_image,test_image,ref_position,response,resptime,image_id
Stadt,siggraph17,images/30.jpg,images/30_siggraph17.jpg,0,0,5.025325,30
Stadt,eccv16,images/35.jpg,images/35_eccv16.jpg,1,1,2.656642,35
Stadt,eccv16,images/37.jpg,images/37_eccv16.jpg,0,0,1.903305,37
Natur,eccv16,images/9.jpg,images/9_eccv16.jpg,0,0,1.250498,9
Stadt,siggraph17,images/40.jpg,images/40_siggraph17.jpg,0,0,1.140742,40
Stadt,eccv16,images/38.jpg,images/38_eccv16.jpg,1,1,1.090245,38
Alltag,eccv16,images/52.jpg,images/52_eccv16.jpg,1,1,5.331726,52
Alltag,siggraph17,images/49.jpg,images/49_siggraph17.jpg,1,1,1.278979,49
Natur,siggraph17,images/17.jpg,images/17_siggraph17.jpg,1,1,1.987147,17
Natur,eccv16,images/7.jpg,images/7_eccv16.jpg,0,0,0.949857,7
Stadt,eccv16,images/31.jpg,images/31_eccv16.jpg,1,1,3.372806,31
Stadt,eccv16,images/23.jpg,images/23_eccv16.jpg,0,0,1.529802,23
Natur,siggraph17,images/1.jpg,images/1_siggraph17.jpg,1,1,1.382297,1
Natur,siggraph17,images/11.jpg,images/11_siggraph17.jpg,1,1,1.228003,11
Natur,siggraph17,images/13.jpg,images/13_siggraph17.jpg,0,0,1.504247,13
Stadt,eccv16,images/21.jpg,images/21_eccv16.jpg,1,1,1.641242,21
Stadt,eccv16,images/26.jpg,images/26_eccv16.jpg,1,1,1.092528,26
Alltag,eccv16,images/47.jpg,images/47_eccv16.jpg,1,1,1.362465,47
Natur,eccv16,images/14.jpg,images/14_eccv16.jpg,1,1,1.12544,14
Stadt,siggraph17,images/27.jpg,images/27_siggraph17.jpg,1,1,0.964712,27
Natur,siggraph17,images/5.jpg,images/5_siggraph17.jpg,1,1,3.010386,5
Stadt,siggraph17,images/22.jpg,images/22_siggraph17.jpg,1,1,1.531884,22
Alltag,siggraph17,images/55.jpg,images/55_siggraph17.jpg,0,0,1.009064,55
Natur,eccv16,images/10.jpg,images/10_eccv16.jpg,0,0,2.269024,10
Stadt,siggraph17,images/24.jpg,images/24_siggraph17.jpg,0,1,2.586696,24
Stadt,siggraph17,images/29.jpg,images/29_siggraph17.jpg,1,1,3.652428,29
Stadt,eccv16,images/36.jpg,images/36_eccv16.jpg,0,0,1.104087,36
Natur,siggraph17,images/19.jpg,images/19_siggraph17.jpg,0,0,3.167876,19
Alltag,siggraph17,images/59.jpg,images/59_siggraph17.jpg,0,0,1.015779,59
Natur,eccv16,images/12.jpg,images/12_eccv16.jpg,0,0,2.913655,12
Alltag,eccv16,images/51.jpg,images/51_eccv16.jpg,1,1,0.97968,51
Alltag,siggraph17,images/45.jpg,images/45_siggraph17.jpg,0,0,4.074239,45
Alltag,eccv16,images/58.jpg,images/58_eccv16.jpg,0,1,2.342379,58
Natur,siggraph17,images/8.jpg,images/8_siggraph17.jpg,0,0,2.931245,8
Stadt,siggraph17,images/34.jpg,images/34_siggraph17.jpg,1,1,2.156548,34
Stadt,eccv16,images/28.jpg,images/28_eccv16.jpg,0,0,2.008322,28
Natur,eccv16,images/18.jpg,images/18_eccv16.jpg,0,0,3.468187,18
Alltag,siggraph17,images/41.jpg,images/41_siggraph17.jpg,1,1,1.666457,41
Alltag,eccv16,images/42.jpg,images/42_eccv16.jpg,0,0,3.239484,42
Natur,eccv16,images/15.jpg,images/15_eccv16.jpg,1,1,3.127364,15
Alltag,eccv16,images/54.jpg,images/54_eccv16.jpg,1,1,1.001296,54
Alltag,siggraph17,images/48.jpg,images/48_siggraph17.jpg,0,0,3.229937,48
Alltag,siggraph17,images/60.jpg,images/60_siggraph17.jpg,0,0,2.110229,60
Natur,siggraph17,images/2.jpg,images/2_siggraph17.jpg,0,0,4.794733,2
Natur,siggraph17,images/16.jpg,images/16_siggraph17.jpg,0,0,1.786115,16
Natur,eccv16,images/20.jpg,images/20_eccv16.jpg,1,1,3.301051,20
Alltag,eccv16,images/57.jpg,images/57_eccv16.jpg,0,0,2.273792,57
Alltag,eccv16,images/53.jpg,images/53_eccv16.jpg,1,1,1.295192,53
Stadt,siggraph17,images/25.jpg,images/25_siggraph17.jpg,1,0,4.92286,25
Natur,eccv16,images/4.jpg,images/4_eccv16.jpg,0,0,1.586604,4
Alltag,siggraph17,images/50.jpg,images/50_siggraph17.jpg,0,0,1.964535,50
Stadt,siggraph17,images/39.jpg,images/39_siggraph17.jpg,0,0,2.683728,39
Natur,eccv16,images/3.jpg,images/3_eccv16.jpg,0,0,9.717414,3
Alltag,eccv16,images/44.jpg,images/44_eccv16.jpg,1,1,1.460438,44
Natur,siggraph17,images/6.jpg,images/6_siggraph17.jpg,0,0,4.943529,6
Alltag,siggraph17,images/43.jpg,images/43_siggraph17.jpg,1,1,3.116345,43
Stadt,siggraph17,images/33.jpg,images/33_siggraph17.jpg,1,1,4.762979,33
Alltag,eccv16,images/46.jpg,images/46_eccv16.jpg,0,0,0.97243,46
Stadt,eccv16,images/32.jpg,images/32_eccv16.jpg,0,0,3.564728,32
Alltag,siggraph17,images/56.jpg,images/56_siggraph17.jpg,1,1,1.079572,56
