category,algorithmus,reference_image,test_image,ref_position,response,resptime
Stadt,siggraph17,images/30.jpg,images/30_siggraph17.jpg,1,1,2.798488,30
Alltag,siggraph17,images/54.jpg,images/54_siggraph17.jpg,0,0,1.045079,54
Alltag,eccv16,images/56.jpg,images/56_eccv16.jpg,1,1,0.795472,56
Natur,siggraph17,images/1.jpg,images/1_siggraph17.jpg,0,0,1.106696,1
Stadt,siggraph17,images/36.jpg,images/36_siggraph17.jpg,0,0,0.852056,36
Natur,eccv16,images/15.jpg,images/15_eccv16.jpg,0,0,0.781916,15
Natur,eccv16,images/2.jpg,images/2_eccv16.jpg,0,0,1.595478,2
Stadt,siggraph17,images/22.jpg,images/22_siggraph17.jpg,1,1,1.232095,22
Stadt,eccv16,images/32.jpg,images/32_eccv16.jpg,1,1,1.236364,32
Alltag,siggraph17,images/57.jpg,images/57_siggraph17.jpg,0,0,0.713287,57
Alltag,siggraph17,images/60.jpg,images/60_siggraph17.jpg,1,1,2.322275,60
Alltag,siggraph17,images/41.jpg,images/41_siggraph17.jpg,1,1,1.018281,41
Stadt,eccv16,images/23.jpg,images/23_eccv16.jpg,1,1,0.721036,23
Alltag,eccv16,images/50.jpg,images/50_eccv16.jpg,0,0,0.721573,50
Alltag,eccv16,images/44.jpg,images/44_eccv16.jpg,1,1,0.926478,44
Natur,siggraph17,images/9.jpg,images/9_siggraph17.jpg,0,0,0.685029,9
Natur,siggraph17,images/7.jpg,images/7_siggraph17.jpg,1,1,0.699057,7
Alltag,eccv16,images/46.jpg,images/46_eccv16.jpg,0,0,0.775021,46
Alltag,siggraph17,images/43.jpg,images/43_siggraph17.jpg,1,1,0.820194,43
Stadt,eccv16,images/28.jpg,images/28_eccv16.jpg,0,0,0.750913,28
Natur,eccv16,images/12.jpg,images/12_eccv16.jpg,0,0,0.826483,12
Natur,eccv16,images/3.jpg,images/3_eccv16.jpg,1,0,7.366841,3
Stadt,siggraph17,images/39.jpg,images/39_siggraph17.jpg,0,0,1.330498,39
Stadt,eccv16,images/33.jpg,images/33_eccv16.jpg,0,0,1.47252,33
Alltag,eccv16,images/55.jpg,images/55_eccv16.jpg,1,1,0.878231,55
Alltag,siggraph17,images/59.jpg,images/59_siggraph17.jpg,0,0,0.705516,59
Natur,siggraph17,images/13.jpg,images/13_siggraph17.jpg,1,1,1.037524,13
Alltag,eccv16,images/53.jpg,images/53_eccv16.jpg,0,0,0.882572,53
Stadt,eccv16,images/26.jpg,images/26_eccv16.jpg,1,1,0.89463,26
Natur,siggraph17,images/5.jpg,images/5_siggraph17.jpg,0,0,1.46446,5
Stadt,siggraph17,images/29.jpg,images/29_siggraph17.jpg,1,1,1.086202,29
Stadt,siggraph17,images/27.jpg,images/27_siggraph17.jpg,1,1,1.174644,27
Alltag,eccv16,images/48.jpg,images/48_eccv16.jpg,0,0,0.892119,48
Stadt,siggraph17,images/37.jpg,images/37_siggraph17.jpg,0,0,1.563551,37
Alltag,eccv16,images/52.jpg,images/52_eccv16.jpg,1,1,1.024981,52
Natur,siggraph17,images/20.jpg,images/20_siggraph17.jpg,1,1,1.590283,20
Stadt,eccv16,images/34.jpg,images/34_eccv16.jpg,1,1,1.175982,34
Alltag,siggraph17,images/49.jpg,images/49_siggraph17.jpg,1,1,1.1665,49
Stadt,eccv16,images/25.jpg,images/25_eccv16.jpg,1,0,5.352195,25
Natur,siggraph17,images/4.jpg,images/4_siggraph17.jpg,1,1,6.169242,4
Natur,eccv16,images/8.jpg,images/8_eccv16.jpg,0,0,1.37203,8
Stadt,eccv16,images/35.jpg,images/35_eccv16.jpg,1,1,0.718421,35
Alltag,siggraph17,images/51.jpg,images/51_siggraph17.jpg,1,1,0.754442,51
Natur,eccv16,images/19.jpg,images/19_eccv16.jpg,1,1,0.756777,19
Stadt,eccv16,images/21.jpg,images/21_eccv16.jpg,0,0,1.526792,21
Natur,siggraph17,images/18.jpg,images/18_siggraph17.jpg,0,0,1.750473,18
Natur,eccv16,images/16.jpg,images/16_eccv16.jpg,1,1,1.926893,16
Stadt,siggraph17,images/40.jpg,images/40_siggraph17.jpg,0,0,0.827849,40
Natur,eccv16,images/10.jpg,images/10_eccv16.jpg,1,1,1.533016,10
Alltag,eccv16,images/47.jpg,images/47_eccv16.jpg,0,0,0.768511,47
Alltag,eccv16,images/58.jpg,images/58_eccv16.jpg,0,0,0.897221,58
Natur,siggraph17,images/6.jpg,images/6_siggraph17.jpg,0,0,2.720844,6
Natur,eccv16,images/11.jpg,images/11_eccv16.jpg,1,1,0.800809,11
Natur,siggraph17,images/17.jpg,images/17_siggraph17.jpg,0,0,0.84597,17
Stadt,siggraph17,images/24.jpg,images/24_siggraph17.jpg,1,1,1.609776,24
Alltag,siggraph17,images/42.jpg,images/42_siggraph17.jpg,1,1,1.368275,42
Stadt,eccv16,images/31.jpg,images/31_eccv16.jpg,0,0,1.835009,31
Alltag,siggraph17,images/45.jpg,images/45_siggraph17.jpg,1,1,1.13478,45
Natur,eccv16,images/14.jpg,images/14_eccv16.jpg,0,0,0.709972,14
Stadt,siggraph17,images/38.jpg,images/38_siggraph17.jpg,0,0,0.769251,38
