category,algorithmus,reference_image,test_image,ref_position,response,resptime,image_id
Stadt,siggraph17,images/34.jpg,images/34_siggraph17.jpg,1,1,11.299407,34
Stadt,siggraph17,images/29.jpg,images/29_siggraph17.jpg,1,0,5.947544,29
Stadt,eccv16,images/30.jpg,images/30_eccv16.jpg,0,0,8.023196,30
Natur,siggraph17,images/5.jpg,images/5_siggraph17.jpg,1,1,9.557503,5
Alltag,eccv16,images/41.jpg,images/41_eccv16.jpg,0,0,2.913428,41
Stadt,eccv16,images/25.jpg,images/25_eccv16.jpg,1,1,3.920492,25
Stadt,siggraph17,images/36.jpg,images/36_siggraph17.jpg,1,0,3.332,36
Alltag,siggraph17,images/50.jpg,images/50_siggraph17.jpg,0,0,4.69456,50
Alltag,siggraph17,images/60.jpg,images/60_siggraph17.jpg,0,0,6.916079,60
Natur,siggraph17,images/20.jpg,images/20_siggraph17.jpg,0,0,2.323515,20
Natur,siggraph17,images/13.jpg,images/13_siggraph17.jpg,0,0,5.133457,13
Alltag,eccv16,images/43.jpg,images/43_eccv16.jpg,1,1,1.93859,43
Natur,eccv16,images/1.jpg,images/1_eccv16.jpg,0,1,5.589186,1
Stadt,eccv16,images/23.jpg,images/23_eccv16.jpg,0,0,2.351745,23
Natur,eccv16,images/6.jpg,images/6_eccv16.jpg,0,0,5.24061,6
Stadt,siggraph17,images/39.jpg,images/39_siggraph17.jpg,0,1,4.715502,39
Alltag,eccv16,images/55.jpg,images/55_eccv16.jpg,0,0,2.527712,55
Natur,eccv16,images/10.jpg,images/10_eccv16.jpg,1,0,6.590121,10
Alltag,eccv16,images/57.jpg,images/57_eccv16.jpg,1,1,15.643961,57
Stadt,eccv16,images/33.jpg,images/33_eccv16.jpg,0,1,4.685932,33
Alltag,siggraph17,images/56.jpg,images/56_siggraph17.jpg,0,0,1.339793,56
Alltag,siggraph17,images/51.jpg,images/51_siggraph17.jpg,1,1,1.273579,51
Stadt,siggraph17,images/38.jpg,images/38_siggraph17.jpg,1,1,1.734462,38
Stadt,siggraph17,images/32.jpg,images/32_siggraph17.jpg,0,0,1.95396,32
Alltag,eccv16,images/45.jpg,images/45_eccv16.jpg,0,0,1.433854,45
Alltag,eccv16,images/52.jpg,images/52_eccv16.jpg,0,0,1.56352,52
Stadt,eccv16,images/37.jpg,images/37_eccv16.jpg,1,1,2.462885,37
Alltag,siggraph17,images/48.jpg,images/48_siggraph17.jpg,0,0,2.14297,48
